Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"227617000","0","3283","29.2"
"227828000","0","3283","29.2"
"228037000","0","3283","29.5"
"228247000","0","3283","29.5"
"228654000","0","3283","29.5"
"228922000","0","3283","29.5"
"229133000","0","3283","29.5"
"229343000","0","3283","29.5"
"229552000","0","3283","29.5"
"229952000","0","3283","29.5"
"230227000","0","3283","29.5"
"230438000","0","3283","29.8"
"230648000","0","3283","29.8"
"230858000","0","3283","29.8"
"231266000","0","3283","29.8"
"231532000","0","3283","29.8"
"231743000","0","3283","29.8"
"231952000","0","3283","29.8"
"232162000","0","3283","29.8"
"232570000","0","3283","30.1"
"232838000","0","3283","30.1"
"233049000","0","3283","30.1"
"233258000","0","3283","30.1"
"233468000","0","3283","30.1"
"233875000","0","3283","30.1"
"234143000","0","3283","30.1"
"234352000","0","3283","30.1"
"234562000","0","3283","30.1"
"234773000","0","3283","30.1"
"235181000","0","3283","30.3"
"235449000","0","3283","30.3"
"235660000","0","3283","30.3"
"235869000","0","3283","30.3"
"236079000","0","3283","30.3"
"236487000","0","3283","30.3"
"236754000","0","3283","30.3"
"236963000","0","3283","30.3"
"237179000","0","3283","30.6"
"237389000","0","3283","30.6"
"237796000","0","3283","30.6"
"238064000","0","3283","30.6"
"238275000","0","3283","30.6"
"238484000","0","3283","30.6"
"238695000","0","3283","30.6"
"239102000","0","3283","30.6"
"239369000","0","3283","30.9"
"239578000","0","3283","30.9"
"239789000","0","3283","30.9"
"239999000","0","3283","30.9"
